type;VaccPoint ;PointName;lat;long;y_proj;x_proj;comment;display;symbol;unused1;dist;prox_index;color;altitude;depth;temp;time;wpt_class;sub_class;attrib;link;state;country;city;address;facility;crossroad;unused2;ete;dtype;model;filename;ltime
WAYPOINT;ASA1;C.S. ALTO SELVA ALEGRE;-16.38098695;-71.51887639;-16.38098695;-71.51887639; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA2;PLAZA ESPIRITU SANTO;-16.38555734;-71.52168407;-16.38555734;-71.52168407; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA3;COMPLEJO AREQUIPA;-16.37984154;-71.51532369;-16.37984154;-71.51532369; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA4;COMPLEJO DEPORTIVO ROMERO;-16.38884091;-71.52842786;-16.38884091;-71.52842786; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA5;COMPLEJO DEPORTIVO ROOSEVELT;-16.38200761;-71.52349356;-16.38200761;-71.52349356; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA6;MERCADO VILLA HERMOSA;-16.37908343;-71.52050544;-16.37908343;-71.52050544; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA7;PLAZA 1 DE MAYO;-16.38964907;-71.52655266;-16.38964907;-71.52655266; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA8;PISCINA MUNICIPAL;-16.37605979;-71.51678767;-16.37605979;-71.51678767; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA9;PARQUE AV. LETICIA;-16.37343701;-71.51493797;-16.37343701;-71.51493797; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA10;C.S. INDEPENDENCIA;-16.36688025;-71.5248993;-16.36688025;-71.5248993; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA11;TERMINAL DE VILLA ECOLOGICA;-16.34319516;-71.52118078;-16.34319516;-71.52118078; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA12;I.E. BEETHOVEN;-16.36396968;-71.52225021;-16.36396968;-71.52225021; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA13;SAN LUIS GONZAGA ZONA A;-16.35178823;-71.51152011;-16.35178823;-71.51152011; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA14;SAN LUIS GONZAGA ZONA B;-16.34735521;-71.51307132;-16.34735521;-71.51307132; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA15;SAN LUIS GONZAGA ZONA C;-16.34486748;-71.51408095;-16.34486748;-71.51408095; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA16;SAN LUIS GONZAGA ZONA D;-16.34486207;-71.51037733;-16.34486207;-71.51037733; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA17;LOZA DEPORTIVA PAMPA CHICA;-16.37000255;-71.5285508;-16.37000255;-71.5285508; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA18;LOCAL SOCIAL HUARANGAL;-16.3581065;-71.51565399;-16.3581065;-71.51565399; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA19;LOCAL SOCIAL WAWA WASI ZONA C;-16.3475666;-71.52231982;-16.3475666;-71.52231982; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA20;CENTRO DEPORTIVO VILLA ASUNCION;-16.36175407;-71.51540153;-16.36175407;-71.51540153; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA21;CENTRO DEPORTIVO EL MIRADOR;-16.36043283;-71.51318094;-16.36043283;-71.51318094; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA22;CENTRO DEPORTIVO VILLA SOLIDARIDAD;-16.35977763;-71.50947963;-16.35977763;-71.50947963; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA23;CENTRO DEPORTIVO BALCONES DE CHILINA;-16.36283685;-71.52673261;-16.36283685;-71.52673261; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA24;CENTRO DEPORTIVO VILLA ECOLOGICA;-16.35410793;-71.52332217;-16.35410793;-71.52332217; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA25;CENTRO DEPORTIVO AMPLIACION VILLA ECOLOGICA;-16.34968787;-71.51871745;-16.34968787;-71.51871745; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA26;ES EL MISMO PUNTO QUE EL ASA24;-16.35815562;-71.52459815;-16.35815562;-71.52459815; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA27;CENTRO DEPORTIVO NUEVA VILLA ECOLOGICA;-16.3511721;-71.51609679;-16.3511721;-71.51609679; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA28;CENTRO DEPORTIVO CANTERAS;-16.34351376;-71.52720842;-16.34351376;-71.52720842; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA29;ESTADIO CAMPEONES DEL 81;-16.36953516;-71.52795824;-16.36953516;-71.52795824; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA30;P.S. HEROES DEL CENEPA;-16.37631761;-71.52637085;-16.37631761;-71.52637085; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA31;PLAZA JAVIER HERAUD;-16.37852147;-71.52455953;-16.37852147;-71.52455953; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA32;IGLESIA CRISTRO REY;-16.3745996;-71.52271221;-16.3745996;-71.52271221; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA33;CENTRO DEPORTIVO VILLA EL MIRADOR;-16.37695139;-71.52517083;-16.37695139;-71.52517083; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA34;IGELSIA GUADALUPE;-16.38017944;-71.52641679;-16.38017944;-71.52641679; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA35;PARQUE LA COLA COLA;-16.37678237;-71.5287664;-16.37678237;-71.5287664; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA36;CENTRO DEPORTIVO LA BOMBONERA;-16.37404206;-71.51911792;-16.37404206;-71.51911792; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA37;SEMAFORO DE VISTA ALEGRE;-16.37958124;-71.52957115;-16.37958124;-71.52957115; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA38;C.S.APURIMAC;-16.37199637;-71.50963066;-16.37199637;-71.50963066; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA39;AMPLIACION APURIMAC;-16.36905934;-71.5103003;-16.36905934;-71.5103003; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA40;PLAZA SAN HILARION;-16.37407402;-71.50880912;-16.37407402;-71.50880912; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA41;CENTRO DEPORTIVO APURIMAC;-16.37010616;-71.50886714;-16.37010616;-71.50886714; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA42;MERCADO APURIMAC;-16.37161554;-71.50995484;-16.37161554;-71.50995484; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA43;COMPLEJO DEPORTIVO ROLANDO JAUREGUI;-16.3720484;-71.51521297;-16.3720484;-71.51521297; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA44;P.S. LEONES DEL MISTI;-16.37003669;-71.50700863;-16.37003669;-71.50700863; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
WAYPOINT;ASA45;COMPLEJO DEPORTE VILLA UNION;-16.36706491;-71.50365508;-16.36706491;-71.50365508; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
